,year,avg_temp,MA10,MA25,avg_temp_f,MA10_F,MA25_F
0,1743,4.725443037974685,,,40.50579746835443,,
1,1744,11.230253164556961,,,52.214455696202535,,
2,1745,1.6784810126582281,,,35.021265822784805,,
3,1746,,,,,,
4,1747,,,,,,
5,1748,,,,,,
6,1749,,,,,,
7,1750,10.42445945945946,,,50.76402702702705,,
8,1751,10.727837837837836,,,51.3101081081081,,
9,1752,4.208701298701299,,,39.57566233766235,,
10,1753,10.046511627906975,,,50.08372093023256,,
11,1754,10.096976744186048,,,50.17455813953488,,
12,1755,9.055977011494253,,,48.30075862068967,,
13,1756,10.435747126436782,,,50.78434482758621,,
14,1757,10.050919540229886,,,50.09165517241379,,
15,1758,9.479677419354841,,,49.06341935483869,,
16,1759,10.36569892473118,,,50.658258064516104,,
17,1760,8.827741935483875,,,47.88993548387096,,
18,1761,10.550823529411762,,,50.991482352941176,,
19,1762,10.147294117647055,,,50.2651294117647,,
20,1763,9.211976744186051,,,48.581558139534884,,
21,1764,10.589534883720928,,,51.061162790697686,,
22,1765,10.099418604651163,,,50.178953488372116,,
23,1766,10.422209302325582,,,50.75997674418605,,
24,1767,9.766744186046514,,,49.58013953488374,,
25,1768,9.770531914893617,,,49.58695744680851,,
26,1769,10.48148936170213,,,50.86668085106381,,
27,1770,10.415869565217392,,,50.74856521739131,,
28,1771,10.58163043478261,,,51.04693478260869,,
29,1772,10.669418604651167,,,51.20495348837208,,
30,1773,11.086304347826086,,,51.955347826086935,,
31,1774,10.102747252747253,,,50.184945054945075,,
32,1775,11.569375000000003,,,52.824874999999984,,
33,1776,10.445510204081636,,,50.80191836734693,,
34,1777,10.312421052631581,,,50.562357894736834,,
35,1778,9.609673913043478,,,49.297413043478244,,
36,1779,8.738494623655916,,,47.72929032258064,,
37,1780,9.82797297297297,,,49.690351351351325,,
38,1781,10.541145833333331,,,50.9740625,,
39,1782,9.72677083333333,,,49.50818749999999,,
40,1783,10.132553191489363,,,50.23859574468083,,
41,1784,9.7310989010989,,,49.51597802197802,,
42,1785,9.448191489361708,,,49.006744680851085,,
43,1786,9.666489361702132,,,49.3996808510638,,
44,1787,10.553548387096773,,,50.99638709677418,,
45,1788,10.355104166666667,,,50.63918749999999,,
46,1789,10.438854166666667,,,50.78993750000003,,
47,1790,10.614301075268816,,,51.10574193548387,,
48,1791,11.265700000000002,,,52.27826000000002,,
49,1792,10.669199999999998,,,51.20456000000002,,
50,1793,10.866631578947368,,,51.55993684210526,,
51,1794,11.177578947368422,,,52.119642105263196,,
52,1795,10.498421052631578,,,50.897157894736836,,
53,1796,13.887580645161295,,,56.99764516129031,,
54,1797,14.28137096774194,,,57.706467741935455,,
55,1798,14.091056910569108,,,57.36390243902439,,
